x,y,width,height
-0.9771866,0.4542904,0.032914285714285715,0.05
0.2743971,-0.018724363,0.05,0.024871428571428572
1.0696708,0.5140789,0.048271428571428576,0.03535714285714286
-1.3740069,-1.5179924,0.034814285714285714,0.04361428571428572
0.67537254,1.4594927,0.05,0.03904285714285714
-1.4445878,-1.5175661,0.034542857142857146,0.04248571428571429
0.3122111,0.43176013,0.05,0.024514285714285714
0.94571495,0.2688794,0.047414285714285714,0.034542857142857146
1.1032304,0.75324935,0.04722857142857143,0.03488571428571429
0.34953544,0.45913634,0.05,0.024800000000000003
0.5906855,1.3521148,0.05,0.039342857142857145
-0.24547376,-0.41698554,0.05,0.03482857142857143
-1.7132621,1.4576746,0.0349,0.05
0.5991614,-0.14293548,0.05,0.037828571428571434
0.58535826,-0.09650939,0.05,0.037885714285714286
1.2637918,0.80101925,0.04775714285714286,0.03525714285714286
-0.63850975,0.4909947,0.05,0.03535714285714286
-0.654907,0.3862711,0.05,0.03471428571428572
0.11629142,-1.2969942,0.043757142857142856,0.05
0.8068356,-1.3507756,0.03768571428571429,0.05
1.6347041,0.4957451,0.04812857142857143,0.03495714285714286
0.69821626,-1.1920756,0.03571428571428572,0.05
1.494048,0.6562943,0.04735714285714286,0.03485714285714286
-0.92782813,-1.458087,0.05,0.03324285714285714
-0.643573,-0.81274843,0.037200000000000004,0.05
-0.5449519,0.35277554,0.05,0.03748571428571428
-1.6929641,1.4869312,0.034728571428571435,0.05
0.6666232,0.5931393,0.05,0.0251
-0.68458587,-1.7423613,0.05,0.032600000000000004
0.67843586,0.6440716,0.05,0.024685714285714287
-1.6846576,1.4943876,0.0366,0.05
-0.76891017,-1.7106602,0.05,0.03275714285714286
-0.43238392,0.49407703,0.05,0.0367
-0.8809286,-1.5070837,0.05,0.03292857142857143
1.4316938,0.50462586,0.047142857142857146,0.03501428571428571
1.337866,0.2088902,0.04782857142857143,0.03514285714285714
0.8033616,-1.2829803,0.03641428571428572,0.05
0.78070104,-1.3289984,0.03547142857142857,0.05
1.2888598,0.77487874,0.04782857142857143,0.03482857142857143
0.16614603,-1.3081805,0.043757142857142856,0.05
-0.6301636,0.42992607,0.05,0.03475714285714286
-0.63940775,0.40186852,0.05,0.03515714285714286
0.5056503,-0.2662646,0.05,0.03781428571428572
0.6354761,-0.091238834,0.05,0.038285714285714284
-1.7042472,1.4826658,0.03484285714285714,0.05
-0.23664737,-0.28524014,0.05,0.0352
0.40856305,0.47716665,0.05,0.024071428571428573
0.577442,1.4138204,0.05,0.03937142857142858
1.1717222,0.7239778,0.047214285714285716,0.03471428571428572
1.2467104,0.17183511,0.0475,0.03462857142857143
-0.004950507,0.025696859,0.05,0.024642857142857147
-1.4535692,-1.5056303,0.034300000000000004,0.04328571428571429
0.6756956,1.3914444,0.05,0.03892857142857143
-1.2121075,-1.4819103,0.0337,0.044385714285714285
1.0416162,0.2882178,0.048100000000000004,0.034742857142857145
0.20062163,-0.06784919,0.05,0.024685714285714287
-1.0129135,0.4237141,0.032600000000000004,0.05
0.21196626,0.95983136,0.03384285714285714,0.05
-0.22584938,1.6354878,0.05,0.03505714285714286
0.2742631,-0.030987112,0.05,0.02674285714285714
0.7212372,0.73732233,0.05,0.02475714285714286
-1.4708809,-1.5504261,0.03442857142857143,0.04265714285714286
1.1773136,0.580022,0.04792857142857143,0.03497142857142857
0.9997564,0.551784,0.0478,0.03482857142857143
-0.7766971,-1.4421754,0.0346,0.04404285714285715
0.639729,1.4012637,0.05,0.039085714285714286
0.5295126,0.7191714,0.05,0.024642857142857147
-1.4651272,-1.5540689,0.03377142857142857,0.04568571428571429
-0.2434888,-0.41941288,0.05,0.0356
-1.8467717,0.76250213,0.0303,0.04285714285714286
1.3430612,0.73172367,0.04738571428571429,0.034242857142857144
-1.7189827,1.449068,0.036457142857142855,0.05
0.5244879,-0.3031341,0.05,0.037785714285714284
-2.130394,0.6210815,0.0303,0.04285714285714286
-0.47809216,0.29650703,0.05,0.035242857142857145
-0.6425072,0.44621834,0.05,0.03465714285714286
0.077053644,-1.2604513,0.043757142857142856,0.05
1.4858437,0.5335361,0.04774285714285714,0.03415714285714286
0.682807,-1.3718274,0.035228571428571435,0.05
1.2503812,0.16466536,0.0478,0.03457142857142857
-0.40760046,0.39686865,0.05,0.03667142857142857
-0.46940055,0.680635,0.05,0.03718571428571429
-0.7019023,-1.7413815,0.05,0.03152857142857143
-1.7375115,1.4381721,0.03592857142857143,0.05
0.708646,0.48050424,0.05,0.025142857142857147
-0.6898962,-1.7217802,0.05,0.03225714285714286
0.7074553,0.6483646,0.05,0.0246
-1.6935318,1.4839994,0.03465714285714286,0.05
-0.5210719,0.43202117,0.05,0.03761428571428572
-0.7072586,-1.1063575,0.05,0.03721428571428572
0.7550652,-1.0781063,0.03547142857142857,0.05
1.3285955,0.23950508,0.04778571428571429,0.03478571428571429
1.3230981,0.18695197,0.0474,0.034814285714285714
0.1637846,-1.2983928,0.043757142857142856,0.05
-0.5744677,0.51077366,0.05,0.0354
-0.6005335,0.39182875,0.05,0.03554285714285715
0.5158337,-0.31870118,0.05,0.03781428571428572
-1.9630295,0.6515878,0.0303,0.04285714285714286
-1.7281482,1.4499924,0.03495714285714286,0.05
1.280534,0.8177598,0.0473,0.03432857142857143
-1.9956405,0.5857099,0.0303,0.04285714285714286
-0.23008415,-0.39142674,0.05,0.034728571428571435
-1.4462453,-1.5274901,0.033985714285714286,0.044871428571428576
0.4799834,0.6952558,0.05,0.0247
0.64416814,1.500959,0.05,0.03915714285714286
-0.7733709,-1.5496018,0.033685714285714284,0.04427142857142857
0.90768796,0.48063308,0.04785714285714286,0.03507142857142857
1.1051922,0.04538655,0.04765714285714286,0.03512857142857143
-1.3354369,-1.4192945,0.03282857142857143,0.044942857142857146
0.6043267,0.70341474,0.05,0.024871428571428572
0.2744694,0.012306461,0.05,0.025
-0.20533802,1.619529,0.05,0.034371428571428574
-0.73091656,0.321378,0.031471428571428574,0.04984285714285715
-0.07493409,1.5960308,0.038400000000000004,0.05
-1.9491626,0.6858747,0.03274285714285714,0.05
0.39435908,0.18637149,0.05,0.02542857142857143
-0.68123645,-1.7571359,0.05,0.03275714285714286
-0.20350711,1.5988641,0.05,0.03475714285714286
0.36632368,0.53207886,0.05,0.024785714285714286
-1.4426318,-1.6028032,0.034728571428571435,0.04377142857142857
1.3176187,0.1870031,0.04798571428571429,0.034871428571428574
1.1949149,0.12503844,0.047971428571428575,0.034942857142857144
-1.4373138,-1.5657611,0.03482857142857143,0.04372857142857143
0.7032421,1.3837106,0.05,0.03812857142857143
-0.266204,-0.3771461,0.05,0.035514285714285714
-2.0179424,0.6323377,0.0303,0.04285714285714286
0.7164381,0.32246223,0.05,0.038271428571428574
1.1633387,0.22604038,0.04787142857142857,0.03434285714285714
1.5753593,0.61956203,0.04761428571428572,0.034814285714285714
1.6218677,0.5335698,0.04762857142857144,0.03467142857142857
0.7459122,-1.3124713,0.03482857142857143,0.05
0.1296104,-1.2539964,0.043757142857142856,0.05
-0.6274343,0.47521052,0.05,0.035114285714285716
-0.6373493,0.45342043,0.05,0.03514285714285714
0.10124842,-1.282665,0.043757142857142856,0.05
-1.6989707,1.4836901,0.03512857142857143,0.05
0.7010862,0.6877589,0.05,0.025257142857142856
-0.6041996,-1.6976444,0.05,0.03242857142857143
-0.4347316,0.48153585,0.05,0.036942857142857145
-0.43722823,0.50026536,0.05,0.037585714285714285
-0.4905057,0.530432,0.05,0.037085714285714284
-0.42107543,0.4500283,0.05,0.036757142857142856
0.71996707,0.7021206,0.05,0.025
-1.7179482,1.4568881,0.034614285714285715,0.05
-0.6897559,-1.5173941,0.05,0.03307142857142858
-0.6319749,0.45613652,0.05,0.03517142857142857
-0.60956305,0.48178002,0.05,0.035114285714285716
1.6090733,0.5555134,0.04751428571428572,0.03471428571428572
0.105258815,-1.2987858,0.043757142857142856,0.05
0.5157932,-1.2026786,0.034942857142857144,0.05
1.5269777,0.65127367,0.048100000000000004,0.035371428571428574
-0.20030351,0.99324775,0.0363,0.05
1.0889628,0.071887,0.04748571428571429,0.03438571428571429
0.708973,0.38907212,0.05,0.038271428571428574
-2.053001,0.6325109,0.0303,0.04285714285714286
-0.27572322,-0.46110642,0.05,0.03535714285714286
-1.419091,-1.5100557,0.03477142857142857,0.04391428571428572
1.3521336,0.49062026,0.04811428571428572,0.0344
1.2632016,0.14027014,0.04765714285714286,0.03452857142857143
-1.3959105,-1.5445805,0.03488571428571429,0.043942857142857145
0.41060892,0.49514437,0.05,0.02495714285714286
-0.27497655,1.6434851,0.05,0.03491428571428572
0.19785267,0.04295127,0.05,0.025914285714285713
-0.99948287,0.4367542,0.03217142857142857,0.05
-0.70952374,-1.7789389,0.05,0.03242857142857143
-0.1717647,1.5621748,0.05,0.034485714285714286
-0.71630627,-1.395039,0.038514285714285716,0.05
-1.4428834,0.29879078,0.02415714285714286,0.034228571428571435
0.5409099,0.18537316,0.05,0.02532857142857143
-0.2238817,-0.90642697,0.013714285714285715,0.013942857142857144
1.1521945,0.08215164,0.047085714285714286,0.034499999999999996
0.4495111,0.44736722,0.05,0.02472857142857143
1.2865012,0.05432329,0.047471428571428574,0.03435714285714286
-1.4075991,-1.4802966,0.03442857142857143,0.04372857142857143
0.67766404,1.3731976,0.05,0.03841428571428571
-1.4118656,-1.5568997,0.03438571428571429,0.043242857142857145
1.0561192,0.39675623,0.0477,0.035042857142857146
-2.0315878,0.6418631,0.0303,0.04285714285714286
-0.28098843,-0.47980934,0.05,0.035371428571428574
0.5073633,-0.33151907,0.05,0.03791428571428572
0.4341105,-0.30994657,0.05,0.038200000000000005
-1.7417649,1.4341687,0.035371428571428574,0.05
0.5916562,-0.8794466,0.034871428571428574,0.05
-0.6476211,0.36739156,0.05,0.03507142857142857
1.6385161,0.5248531,0.04717142857142857,0.034371428571428574
1.5228375,0.68236774,0.04751428571428572,0.03497142857142857
-0.5572723,0.4018753,0.05,0.035185714285714285
0.6374159,-0.8462348,0.03784285714285715,0.05
1.4833306,0.55346364,0.04862857142857143,0.03402857142857143
-0.5697024,-1.6688193,0.05,0.03258571428571429
-1.7230595,1.4642557,0.03465714285714286,0.05
0.7577029,0.6637719,0.05,0.024971428571428575
-0.69339454,-1.5003607,0.05,0.032
